Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
1,2026-07-09 13:40:54,deepseek-v4-flash,15160,0,355,0,15515,0
2,2026-07-09 13:41:27,deepseek-v4-flash,55221,0,1252,0,56473,0
3,2026-07-09 13:42:34,deepseek-v4-flash,126944,0,3482,0,130426,0
4,2026-07-09 13:44:40,deepseek-v4-flash,523904,0,5178,0,529082,0
5,2026-07-09 13:45:19,deepseek-v4-flash,26612,0,3061,0,29673,0
6,2026-07-09 13:45:47,deepseek-v4-flash,17329,0,1386,0,18715,0
7,2026-07-09 13:46:12,deepseek-v4-flash,15846,0,1218,0,17064,0
8,2026-07-09 13:46:47,deepseek-v4-flash,21838,0,2436,0,24274,0
9,2026-07-09 13:47:18,deepseek-v4-flash,26525,0,1989,0,28514,0
10,2026-07-09 13:47:30,deepseek-v4-flash,7103,0,547,0,7650,0
11,2026-07-09 13:47:45,deepseek-v4-flash,17013,0,687,0,17700,0
12,2026-07-09 13:48:07,deepseek-v4-flash,24831,0,1012,0,25843,0
13,2026-07-09 13:48:24,deepseek-v4-flash,8191,0,1228,0,9419,0
14,2026-07-09 13:48:39,deepseek-v4-flash,9193,0,1113,0,10306,0
15,2026-07-09 13:50:27,deepseek-v4-flash,362298,0,5351,0,367649,0
16,2026-07-09 13:50:43,deepseek-v4-flash,9989,0,882,0,10871,0
17,2026-07-09 13:50:54,deepseek-v4-flash,11309,0,749,0,12058,0
18,2026-07-09 13:51:13,deepseek-v4-flash,22094,0,1158,0,23252,0
19,2026-07-09 13:51:42,deepseek-v4-flash,17470,0,1944,0,19414,0
20,2026-07-09 13:51:55,deepseek-v4-flash,9943,0,909,0,10852,0
21,2026-07-09 13:52:47,deepseek-v4-flash,82608,0,3263,0,85871,0
22,2026-07-09 13:53:22,deepseek-v4-flash,50410,0,1274,0,51684,0
23,2026-07-09 13:53:34,deepseek-v4-flash,9074,0,766,0,9840,0
24,2026-07-09 13:53:45,deepseek-v4-flash,10146,0,779,0,10925,0
25,2026-07-09 13:55:34,deepseek-v4-flash,316965,0,7705,0,324670,0
26,2026-07-09 15:27:09,deepseek-v4-flash,232685,0,3185,0,235870,0
27,2026-07-09 15:27:27,deepseek-v4-flash,19611,0,1070,0,20681,0
28,2026-07-09 15:27:47,deepseek-v4-flash,28469,0,1196,0,29665,0
29,2026-07-09 15:28:13,deepseek-v4-flash,26620,0,2063,0,28683,0
30,2026-07-09 15:29:21,deepseek-v4-flash,64148,0,1433,0,65581,0
31,2026-07-09 15:29:32,deepseek-v4-flash,11444,0,584,0,12028,0
32,2026-07-09 15:30:17,deepseek-v4-flash,82124,0,1124,0,83248,0
