Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
1,2026-07-12 11:13:36,gpt-5.4,4892,0.01223,185,0.002775,5077,0.015005
2,2026-07-12 11:14:06,gpt-5.4,37287,0.09321750000000001,1743,0.026144999999999998,39030,0.11936250000000001
3,2026-07-12 11:14:26,gpt-5.4,19029,0.047572500000000004,1499,0.022484999999999998,20528,0.0700575
4,2026-07-12 11:18:23,gpt-5.3-codex,1952272,3.416476,14569,0.203966,1966841,3.6204419999999997
5,2026-07-12 12:48:41,gpt-5.4,11845,0.0296125,646,0.009689999999999999,12491,0.0393025
6,2026-07-12 12:48:49,gpt-5.4,10793,0.0269825,482,0.00723,11275,0.0342125
7,2026-07-12 12:48:52,gpt-5.4,4362,0.010905000000000001,172,0.0025800000000000003,4534,0.013485000000000002
8,2026-07-12 12:49:04,gpt-5.4,13621,0.0340525,507,0.007605,14128,0.0416575
9,2026-07-12 12:49:12,gpt-5.4,15023,0.0375575,514,0.007710000000000001,15537,0.0452675
10,2026-07-12 12:49:16,gpt-5.4,4353,0.0108825,299,0.004485,4652,0.0153675
11,2026-07-12 12:49:19,gpt-5.4,4357,0.0108925,365,0.005475,4722,0.0163675
12,2026-07-12 12:49:21,gpt-5.4,4356,0.010889999999999999,159,0.002385,4515,0.013274999999999999
13,2026-07-12 12:49:26,gpt-5.4,4363,0.010907499999999999,428,0.00642,4791,0.0173275
14,2026-07-12 12:49:31,gpt-5.4,4364,0.01091,410,0.00615,4774,0.01706
15,2026-07-12 12:50:02,gpt-5.4,62190,0.155475,1291,0.019365,63481,0.17484
16,2026-07-12 12:50:15,gpt-5.4,21372,0.05343,609,0.009134999999999999,21981,0.062565
17,2026-07-12 12:50:24,gpt-5.4,11263,0.028157500000000002,574,0.00861,11837,0.0367675
18,2026-07-12 12:50:40,gpt-5.4,24510,0.061275,1015,0.015225,25525,0.0765
19,2026-07-12 12:50:50,gpt-5.4,12467,0.0311675,765,0.011474999999999999,13232,0.0426425
20,2026-07-12 12:50:54,gpt-5.4,4360,0.0109,353,0.005295,4713,0.016195
21,2026-07-12 12:50:58,gpt-5.4,4365,0.0109125,391,0.005865,4756,0.0167775
22,2026-07-12 12:51:02,gpt-5.4,4369,0.010922499999999998,383,0.005745,4752,0.0166675
23,2026-07-12 12:51:08,gpt-5.4,4371,0.0109275,573,0.008595,4944,0.019522499999999998
24,2026-07-12 12:54:56,gpt-5.3-codex,1323462,2.3160585,16169,0.22636599999999998,1339631,2.5424245
25,2026-07-12 14:25:23,gpt-5.4,25713,0.06428249999999999,879,0.013185,26592,0.0774675
26,2026-07-12 14:25:34,gpt-5.4,12284,0.03071,583,0.008745,12867,0.039455000000000004
27,2026-07-12 14:25:37,gpt-5.4,4498,0.011245000000000002,237,0.003555,4735,0.0148
28,2026-07-12 14:25:47,gpt-5.4,12493,0.031232500000000003,409,0.006135000000000001,12902,0.037367500000000005
29,2026-07-12 14:25:57,gpt-5.4,13777,0.0344425,357,0.005355,14134,0.0397975
30,2026-07-12 14:26:13,gpt-5.4,33670,0.084175,687,0.010305,34357,0.09448
31,2026-07-12 14:26:24,gpt-5.4,12461,0.0311525,395,0.005925,12856,0.0370775
32,2026-07-12 14:26:28,gpt-5.4,4492,0.01123,309,0.004634999999999999,4801,0.015865
33,2026-07-12 14:26:46,gpt-5.4,17604,0.04401000000000001,1192,0.01788,18796,0.06189000000000001
34,2026-07-12 14:26:55,gpt-5.4,13007,0.0325175,525,0.007875,13532,0.0403925
35,2026-07-12 14:27:04,gpt-5.4,13606,0.034015000000000004,599,0.008985,14205,0.043000000000000003
36,2026-07-12 14:27:12,gpt-5.4,13788,0.03447,482,0.00723,14270,0.0417
37,2026-07-12 14:27:26,gpt-5.4,24230,0.060575000000000004,734,0.011009999999999999,24964,0.07158500000000001
38,2026-07-12 14:27:44,gpt-5.4,24151,0.0603775,1360,0.0204,25511,0.0807775
39,2026-07-12 14:27:53,gpt-5.4,10593,0.0264825,590,0.00885,11183,0.0353325
40,2026-07-12 14:27:57,gpt-5.4,4496,0.01124,416,0.00624,4912,0.01748
41,2026-07-12 14:28:00,gpt-5.4,4501,0.011252499999999999,308,0.00462,4809,0.015872499999999998
42,2026-07-12 14:28:03,gpt-5.4,4505,0.011262500000000002,306,0.00459,4811,0.015852500000000002
43,2026-07-12 14:28:07,gpt-5.4,4507,0.0112675,381,0.005715,4888,0.016982499999999998
44,2026-07-12 14:31:25,gpt-5.3-codex,694136,1.2147379999999999,14540,0.20356000000000002,708676,1.4182979999999998
45,2026-07-12 14:32:10,gpt-5.3-codex,15748,0.027559000000000004,5615,0.07861,21363,0.106169
46,2026-07-12 16:02:24,gpt-5.4,5329,0.013322500000000001,641,0.009615,5970,0.0229375
47,2026-07-12 16:02:34,gpt-5.4,12911,0.0322775,394,0.0059099999999999995,13305,0.0381875
