Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
1,2026-06-29 01:50:56,gpt-5.4-mini,13118,0.0098385,93,0.0004185,13211,0.010257
2,2026-06-29 01:51:02,gpt-5.4-mini,7629,0.00572175,479,0.0021555,8108,0.00787725
3,2026-06-29 01:51:09,gpt-5.4-mini,6921,0.00519075,430,0.0019349999999999999,7351,0.00712575
4,2026-06-29 01:51:31,gpt-5.4-mini,39317,0.02948775,2343,0.0105435,41660,0.040031250000000004
5,2026-06-29 01:51:42,gpt-5.4-mini,7068,0.005301,273,0.0012285,7341,0.006529500000000001
6,2026-06-29 01:51:43,gpt-5.4-mini,2445,0.00183375,77,0.0003465,2522,0.00218025
7,2026-06-29 01:51:44,gpt-5.4-mini,2430,0.0018225,47,0.0002115,2477,0.002034
8,2026-06-29 01:51:45,gpt-5.4-mini,2421,0.00181575,55,0.0002475,2476,0.00206325
9,2026-06-29 01:51:46,gpt-5.4-mini,2439,0.0018292500000000001,76,0.000342,2515,0.00217125
10,2026-06-29 01:51:47,gpt-5.4-mini,2422,0.0018165,78,0.00035099999999999997,2500,0.0021675
11,2026-06-29 01:51:48,gpt-5.4-mini,2432,0.001824,76,0.000342,2508,0.002166
12,2026-06-29 01:51:49,gpt-5.4-mini,2430,0.0018225,69,0.0003105,2499,0.002133
13,2026-06-29 01:51:50,gpt-5.4-mini,2431,0.00182325,70,0.00031499999999999996,2501,0.00213825
14,2026-06-29 01:51:52,gpt-5.4-mini,2444,0.001833,64,0.000288,2508,0.002121
15,2026-06-29 01:51:53,gpt-5.4-mini,2432,0.001824,87,0.00039150000000000003,2519,0.0022155
16,2026-06-29 01:51:54,gpt-5.4-mini,2446,0.0018344999999999998,60,0.00027,2506,0.0021044999999999996
17,2026-06-29 01:52:11,gpt-5.4-mini,25771,0.019328249999999998,1909,0.008590500000000001,27680,0.02791875
18,2026-06-29 01:52:20,gpt-5.4-mini,5381,0.00403575,1605,0.007222500000000001,6986,0.011258250000000001
19,2026-06-29 01:52:27,gpt-5.4-mini,6886,0.0051645,248,0.001116,7134,0.0062805
20,2026-06-29 01:52:32,gpt-5.4-mini,7878,0.0059085,159,0.0007155,8037,0.006624
21,2026-06-29 01:52:33,gpt-5.4-mini,2276,0.0017069999999999998,55,0.0002475,2331,0.0019544999999999996
22,2026-06-29 01:52:34,gpt-5.4-mini,2267,0.00170025,51,0.0002295,2318,0.00192975
23,2026-06-29 01:52:35,gpt-5.4-mini,2285,0.00171375,68,0.000306,2353,0.00201975
24,2026-06-29 01:52:36,gpt-5.4-mini,2268,0.001701,79,0.00035549999999999997,2347,0.0020565
25,2026-06-29 01:52:37,gpt-5.4-mini,2278,0.0017085,96,0.000432,2374,0.0021405
26,2026-06-29 01:52:43,gpt-5.4-mini,7128,0.005346,170,0.0007650000000000001,7298,0.006111
27,2026-06-29 01:52:45,gpt-5.4-mini,2277,0.00170775,79,0.00035549999999999997,2356,0.00206325
28,2026-06-29 01:52:46,gpt-5.4-mini,2290,0.0017174999999999998,75,0.00033749999999999996,2365,0.002055
29,2026-06-29 01:52:47,gpt-5.4-mini,2278,0.0017085,69,0.0003105,2347,0.002019
30,2026-06-29 01:52:49,gpt-5.4-mini,2292,0.001719,60,0.00027,2352,0.001989
31,2026-06-29 01:53:05,gpt-5.4-mini,27922,0.0209415,2383,0.0107235,30305,0.031665
32,2026-06-29 03:23:10,gpt-5.4-mini,3283,0.00246225,165,0.0007425,3448,0.00320475
33,2026-06-29 03:23:11,gpt-5.4-mini,3271,0.00245325,72,0.000324,3343,0.00277725
34,2026-06-29 03:23:12,gpt-5.4-mini,3256,0.002442,73,0.0003285,3329,0.0027705000000000004
35,2026-06-29 03:23:13,gpt-5.4-mini,3247,0.00243525,60,0.00027,3307,0.0027052499999999998
36,2026-06-29 03:23:14,gpt-5.4-mini,3265,0.00244875,50,0.00022500000000000002,3315,0.00267375
37,2026-06-29 03:23:16,gpt-5.4-mini,3248,0.002436,77,0.0003465,3325,0.0027825
38,2026-06-29 03:23:17,gpt-5.4-mini,3258,0.0024435,76,0.000342,3334,0.0027854999999999998
39,2026-06-29 03:23:18,gpt-5.4-mini,3256,0.002442,83,0.00037349999999999997,3339,0.0028155000000000003
40,2026-06-29 03:23:19,gpt-5.4-mini,3257,0.00244275,84,0.00037799999999999997,3341,0.00282075
41,2026-06-29 03:23:21,gpt-5.4-mini,3270,0.0024525,72,0.000324,3342,0.0027765
42,2026-06-29 03:23:22,gpt-5.4-mini,3258,0.0024435,74,0.00033299999999999996,3332,0.0027765
43,2026-06-29 03:23:23,gpt-5.4-mini,3272,0.002454,78,0.00035099999999999997,3350,0.002805
44,2026-06-29 03:23:46,gpt-5.4-mini,30643,0.02298225,2818,0.012681000000000001,33461,0.03566325
45,2026-06-29 03:24:01,gpt-5.4-mini,9191,0.00689325,2129,0.009580499999999999,11320,0.01647375
46,2026-06-29 03:24:10,gpt-5.4-mini,6881,0.00516075,255,0.0011475,7136,0.0063082500000000005
47,2026-06-29 03:24:15,gpt-5.4-mini,8732,0.006549,177,0.0007965,8909,0.0073455000000000005
48,2026-06-29 03:24:16,gpt-5.4-mini,2506,0.0018795,79,0.00035549999999999997,2585,0.002235
49,2026-06-29 03:24:17,gpt-5.4-mini,2497,0.00187275,57,0.0002565,2554,0.00212925
50,2026-06-29 03:24:18,gpt-5.4-mini,2515,0.00188625,65,0.00029249999999999995,2580,0.0021787499999999997
51,2026-06-29 03:24:19,gpt-5.4-mini,2498,0.0018734999999999997,63,0.0002835,2561,0.0021569999999999996
52,2026-06-29 03:24:21,gpt-5.4-mini,2508,0.0018809999999999999,80,0.00036,2588,0.002241
53,2026-06-29 03:24:23,gpt-5.4-mini,2506,0.0018795,72,0.000324,2578,0.0022035
54,2026-06-29 03:24:23,gpt-5.4-mini,2507,0.00188025,57,0.0002565,2564,0.0021367499999999998
55,2026-06-29 03:24:24,gpt-5.4-mini,2520,0.0018900000000000002,75,0.00033749999999999996,2595,0.0022275000000000003
56,2026-06-29 03:24:26,gpt-5.4-mini,2508,0.0018809999999999999,74,0.00033299999999999996,2582,0.002214
57,2026-06-29 03:24:27,gpt-5.4-mini,2522,0.0018915,66,0.000297,2588,0.0021885
58,2026-06-29 03:24:44,gpt-5.4-mini,35477,0.02660775,2407,0.010831499999999999,37884,0.03743925
59,2026-06-29 04:54:49,gpt-5.4-mini,3085,0.00231375,193,0.0008685,3278,0.0031822499999999997
60,2026-06-29 04:54:59,gpt-5.4-mini,8725,0.00654375,183,0.0008235,8908,0.0073672500000000005
61,2026-06-29 04:55:00,gpt-5.4-mini,3058,0.0022935,68,0.000306,3126,0.0025995
62,2026-06-29 04:55:02,gpt-5.4-mini,3049,0.00228675,54,0.000243,3103,0.0025297500000000003
63,2026-06-29 04:55:03,gpt-5.4-mini,3067,0.0023002499999999998,71,0.0003195,3138,0.0026197499999999997
64,2026-06-29 04:55:04,gpt-5.4-mini,3050,0.0022875,95,0.00042750000000000004,3145,0.002715
65,2026-06-29 04:55:06,gpt-5.4-mini,3060,0.0022949999999999997,73,0.0003285,3133,0.0026235
66,2026-06-29 04:55:07,gpt-5.4-mini,3058,0.0022935,70,0.00031499999999999996,3128,0.0026084999999999997
67,2026-06-29 04:55:09,gpt-5.4-mini,3059,0.0022942500000000003,82,0.000369,3141,0.0026632500000000003
68,2026-06-29 04:55:10,gpt-5.4-mini,3072,0.002304,57,0.0002565,3129,0.0025605000000000003
69,2026-06-29 04:55:11,gpt-5.4-mini,3060,0.0022949999999999997,70,0.00031499999999999996,3130,0.0026099999999999995
70,2026-06-29 04:55:12,gpt-5.4-mini,3074,0.0023055,77,0.0003465,3151,0.002652
71,2026-06-29 04:55:33,gpt-5.4-mini,47611,0.03570825,2039,0.0091755,49650,0.04488375
72,2026-06-29 06:15:45,gpt-5.4-mini,3251,0.00243825,237,0.0010665,3488,0.00350475
73,2026-06-29 06:16:01,gpt-5.4-mini,19844,0.014883,289,0.0013005,20133,0.0161835
74,2026-06-29 06:16:03,gpt-5.4-mini,3225,0.00241875,68,0.000306,3293,0.0027247499999999997
75,2026-06-29 06:16:04,gpt-5.4-mini,3216,0.002412,49,0.0002205,3265,0.0026325000000000003
76,2026-06-29 06:16:05,gpt-5.4-mini,3234,0.0024254999999999997,50,0.00022500000000000002,3284,0.0026504999999999996
77,2026-06-29 06:16:06,gpt-5.4-mini,3217,0.00241275,106,0.000477,3323,0.00288975
78,2026-06-29 06:16:07,gpt-5.4-mini,3227,0.0024202499999999997,79,0.00035549999999999997,3306,0.0027757499999999996
79,2026-06-29 06:16:09,gpt-5.4-mini,3225,0.00241875,97,0.0004365,3322,0.0028552499999999997
80,2026-06-29 06:16:10,gpt-5.4-mini,3226,0.0024195,94,0.000423,3320,0.0028425000000000004
81,2026-06-29 06:16:12,gpt-5.4-mini,3239,0.00242925,97,0.0004365,3336,0.00286575
82,2026-06-29 06:16:13,gpt-5.4-mini,3227,0.0024202499999999997,60,0.00027,3287,0.0026902499999999995
83,2026-06-29 06:16:14,gpt-5.4-mini,3241,0.0024307499999999998,87,0.00039150000000000003,3328,0.0028222499999999997
84,2026-06-29 06:16:29,gpt-5.4-mini,15889,0.01191675,2302,0.010358999999999998,18191,0.022275749999999997
85,2026-06-29 06:16:39,gpt-5.4-mini,7289,0.00546675,277,0.0012465,7566,0.0067132500000000005
86,2026-06-29 06:16:45,gpt-5.4-mini,6912,0.005183999999999999,154,0.000693,7066,0.005876999999999999
87,2026-06-29 06:16:46,gpt-5.4-mini,2505,0.0018787499999999998,64,0.000288,2569,0.00216675
88,2026-06-29 06:16:48,gpt-5.4-mini,2496,0.001872,51,0.0002295,2547,0.0021015
89,2026-06-29 06:16:49,gpt-5.4-mini,2514,0.0018855,65,0.00029249999999999995,2579,0.002178
90,2026-06-29 06:16:51,gpt-5.4-mini,2497,0.00187275,78,0.00035099999999999997,2575,0.00222375
91,2026-06-29 06:16:52,gpt-5.4-mini,2507,0.00188025,80,0.00036,2587,0.00224025
92,2026-06-29 06:16:54,gpt-5.4-mini,2505,0.0018787499999999998,92,0.000414,2597,0.0022927499999999996
93,2026-06-29 06:16:55,gpt-5.4-mini,2506,0.0018795,62,0.000279,2568,0.0021585000000000003
94,2026-06-29 06:16:56,gpt-5.4-mini,2519,0.0018892499999999999,92,0.000414,2611,0.0023032499999999997
95,2026-06-29 06:16:57,gpt-5.4-mini,2507,0.00188025,84,0.00037799999999999997,2591,0.00225825
96,2026-06-29 06:16:59,gpt-5.4-mini,2521,0.0018907499999999999,91,0.00040950000000000003,2612,0.0023002499999999998
97,2026-06-29 06:17:07,gpt-5.4-mini,3109,0.0023317499999999996,1215,0.0054675,4324,0.00779925
SUMMARIZED,-,-,561130,0.42084749999999993,30073,0.13532850000000002,591203,0.556176
