Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
1,2026-06-29 08:11:31,gpt-5.4-mini,14316,0.010737,95,0.00042750000000000004,14411,0.0111645
2,2026-06-29 08:11:38,gpt-5.4-mini,6507,0.00488025,473,0.0021285,6980,0.00700875
3,2026-06-29 08:11:45,gpt-5.4-mini,5461,0.0040957499999999996,358,0.0016109999999999998,5819,0.005706749999999999
4,2026-06-29 08:12:08,gpt-5.4-mini,38160,0.02862,1388,0.006246,39548,0.034866
5,2026-06-29 08:12:10,gpt-5.4-mini,835,0.0006262500000000001,154,0.000693,989,0.0013192500000000001
6,2026-06-29 08:12:16,gpt-5.4-mini,3338,0.0025034999999999996,141,0.0006345000000000001,3479,0.0031379999999999997
7,2026-06-29 08:12:17,gpt-5.4-mini,809,0.0006067500000000001,64,0.000288,873,0.0008947500000000001
8,2026-06-29 08:12:18,gpt-5.4-mini,800,0.0006000000000000001,65,0.00029249999999999995,865,0.0008925000000000001
9,2026-06-29 08:12:20,gpt-5.4-mini,818,0.0006135,54,0.000243,872,0.0008565000000000001
10,2026-06-29 08:12:21,gpt-5.4-mini,807,0.00060525,51,0.0002295,858,0.00083475
11,2026-06-29 08:12:22,gpt-5.4-mini,804,0.000603,61,0.0002745,865,0.0008775
12,2026-06-29 08:12:23,gpt-5.4-mini,803,0.00060225,63,0.0002835,866,0.00088575
13,2026-06-29 08:12:25,gpt-5.4-mini,810,0.0006075,70,0.00031499999999999996,880,0.0009224999999999999
14,2026-06-29 08:12:26,gpt-5.4-mini,811,0.00060825,61,0.0002745,872,0.00088275
15,2026-06-29 08:12:27,gpt-5.4-mini,811,0.00060825,86,0.00038700000000000003,897,0.00099525
16,2026-06-29 08:12:28,gpt-5.4-mini,808,0.000606,52,0.000234,860,0.00084
17,2026-06-29 08:12:44,gpt-5.4-mini,25497,0.01912275,1162,0.005229,26659,0.024351750000000002
18,2026-06-29 08:12:53,gpt-5.4-mini,9384,0.007038,174,0.0007830000000000001,9558,0.007821
