Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
1,2026-07-08 20:11:18,gpt-5.4,4892,0.01223,36,0.00054,4928,0.01277
2,2026-07-08 20:11:29,gpt-5.4,5648,0.01412,549,0.008235,6197,0.022355
3,2026-07-08 20:11:38,gpt-5.4,7652,0.01913,397,0.005955,8049,0.025085000000000003
4,2026-07-08 20:12:35,gpt-5.4,77343,0.1933575,4986,0.07479,82329,0.2681475
5,2026-07-08 20:13:03,gpt-5.4,15885,0.0397125,4126,0.06189000000000001,20011,0.10160250000000001
6,2026-07-08 20:13:31,gpt-5.4,11526,0.028815,4111,0.061665,15637,0.09048
7,2026-07-08 20:13:38,gpt-5.4,4910,0.012275000000000001,219,0.003285,5129,0.015560000000000001
8,2026-07-08 20:13:40,gpt-5.4,4879,0.0121975,67,0.001005,4946,0.0132025
9,2026-07-08 20:13:41,gpt-5.4,4887,0.0122175,67,0.001005,4954,0.0132225
10,2026-07-08 20:13:43,gpt-5.4,4875,0.0121875,72,0.00108,4947,0.0132675
11,2026-07-08 20:13:45,gpt-5.4,4879,0.0121975,59,0.0008849999999999999,4938,0.0130825
12,2026-07-08 20:13:46,gpt-5.4,4878,0.012195000000000001,50,0.00075,4928,0.012945000000000002
13,2026-07-08 20:13:47,gpt-5.4,4877,0.0121925,46,0.00069,4923,0.0128825
14,2026-07-08 20:13:51,gpt-5.4,4874,0.012185,76,0.00114,4950,0.013325
15,2026-07-08 20:13:57,gpt-5.4,11229,0.0280725,161,0.002415,11390,0.0304875
16,2026-07-08 20:13:59,gpt-5.4,4883,0.0122075,70,0.00105,4953,0.0132575
17,2026-07-08 20:14:01,gpt-5.4,4874,0.012185,118,0.0017699999999999999,4992,0.013954999999999999
18,2026-07-08 20:14:03,gpt-5.4,4893,0.0122325,85,0.001275,4978,0.0135075
19,2026-07-08 20:14:05,gpt-5.4,4887,0.0122175,79,0.0011849999999999999,4966,0.0134025
20,2026-07-08 20:14:14,gpt-5.4,4876,0.01219,81,0.0012150000000000002,4957,0.013405
21,2026-07-08 20:14:16,gpt-5.4,4883,0.0122075,67,0.001005,4950,0.0132125
22,2026-07-08 20:14:19,gpt-5.4,4882,0.012205,64,0.0009599999999999999,4946,0.013165
23,2026-07-08 20:15:06,gpt-5.4,65955,0.1648875,4722,0.07082999999999999,70677,0.23571749999999997
24,2026-07-08 20:15:57,gpt-5.4,14861,0.0371525,4036,0.06054,18897,0.09769249999999999
25,2026-07-08 20:16:26,gpt-5.4,12955,0.0323875,4046,0.06069,17001,0.09307750000000001
26,2026-07-08 20:16:37,gpt-5.4,11774,0.029435,365,0.005475,12139,0.03491
27,2026-07-08 20:16:43,gpt-5.4,10554,0.026385,113,0.001695,10667,0.028079999999999997
28,2026-07-08 20:16:46,gpt-5.4,4318,0.010794999999999999,60,0.0009,4378,0.011694999999999999
