Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
1,2026-06-28 08:09:04,gpt-5.4,4892,0.01223,36,0.00054,4928,0.01277
2,2026-06-28 08:09:08,gpt-5.4,799,0.0019975,409,0.006135000000000001,1208,0.0081325
3,2026-06-28 08:09:11,gpt-5.4,1028,0.0025700000000000002,361,0.005415,1389,0.007984999999999999
4,2026-06-28 08:09:49,gpt-5.4,61718,0.15429500000000002,3972,0.059579999999999994,65690,0.213875
5,2026-06-28 08:10:04,gpt-5.4,9889,0.0247225,258,0.0038699999999999997,10147,0.0285925
6,2026-06-28 08:10:10,gpt-5.4,9371,0.023427500000000004,120,0.0018,9491,0.025227500000000003
7,2026-06-28 08:10:12,gpt-5.4,3777,0.0094425,58,0.00087,3835,0.010312499999999999
8,2026-06-28 08:10:18,gpt-5.4,9391,0.0234775,133,0.0019950000000000002,9524,0.0254725
9,2026-06-28 08:10:19,gpt-5.4,3771,0.0094275,57,0.0008550000000000001,3828,0.0102825
10,2026-06-28 08:10:21,gpt-5.4,3770,0.009425,57,0.0008550000000000001,3827,0.01028
11,2026-06-28 08:10:23,gpt-5.4,3767,0.0094175,70,0.00105,3837,0.010467500000000001
12,2026-06-28 08:10:30,gpt-5.4,9406,0.023514999999999998,132,0.00198,9538,0.025494999999999997
13,2026-06-28 08:10:37,gpt-5.4,8762,0.021905,134,0.00201,8896,0.023915000000000002
14,2026-06-28 08:10:45,gpt-5.4,9004,0.02251,120,0.0018,9124,0.02431
15,2026-06-28 08:10:47,gpt-5.4,3772,0.009430000000000001,70,0.00105,3842,0.010480000000000001
16,2026-06-28 08:10:53,gpt-5.4,9407,0.0235175,130,0.00195,9537,0.0254675
17,2026-06-28 08:11:00,gpt-5.4,9645,0.024112500000000002,140,0.0021,9785,0.026212500000000003
18,2026-06-28 08:11:01,gpt-5.4,3774,0.009435,89,0.0013349999999999998,3863,0.01077
19,2026-06-28 08:11:03,gpt-5.4,3774,0.009435,85,0.001275,3859,0.01071
20,2026-06-28 08:11:09,gpt-5.4,9602,0.024005,136,0.00204,9738,0.026045
21,2026-06-28 08:11:11,gpt-5.4,3772,0.009430000000000001,70,0.00105,3842,0.010480000000000001
22,2026-06-28 08:11:12,gpt-5.4,3772,0.009430000000000001,69,0.001035,3841,0.010465
23,2026-06-28 08:11:14,gpt-5.4,3771,0.0094275,68,0.00102,3839,0.0104475
24,2026-06-28 08:11:15,gpt-5.4,3776,0.00944,72,0.00108,3848,0.01052
25,2026-06-28 08:11:17,gpt-5.4,3768,0.00942,63,0.000945,3831,0.010365
26,2026-06-28 08:11:57,gpt-5.4,62053,0.1551325,4589,0.06883500000000001,66642,0.2239675
27,2026-06-28 08:12:21,gpt-5.4,15960,0.0399,3854,0.05781,19814,0.09770999999999999
28,2026-06-28 08:12:27,gpt-5.4,3965,0.0099125,245,0.003675,4210,0.013587499999999999
29,2026-06-28 08:12:33,gpt-5.4,9473,0.023682500000000002,114,0.0017100000000000001,9587,0.025392500000000002
30,2026-06-28 08:12:40,gpt-5.4,9631,0.0240775,115,0.001725,9746,0.025802500000000003
31,2026-06-28 08:12:47,gpt-5.4,9800,0.0245,121,0.001815,9921,0.026315
32,2026-06-28 08:12:53,gpt-5.4,9617,0.0240425,126,0.00189,9743,0.0259325
33,2026-06-28 08:12:55,gpt-5.4,3931,0.0098275,67,0.001005,3998,0.0108325
34,2026-06-28 08:12:57,gpt-5.4,3928,0.00982,76,0.00114,4004,0.010960000000000001
35,2026-06-28 08:12:59,gpt-5.4,3929,0.009822500000000001,56,0.00084,3985,0.010662500000000002
36,2026-06-28 08:13:05,gpt-5.4,9717,0.0242925,128,0.0019199999999999998,9845,0.0262125
37,2026-06-28 08:13:11,gpt-5.4,9184,0.022959999999999998,100,0.0015,9284,0.02446
38,2026-06-28 08:13:17,gpt-5.4,9474,0.023684999999999998,100,0.0015,9574,0.025185
39,2026-06-28 08:13:18,gpt-5.4,3931,0.0098275,65,0.000975,3996,0.0108025
40,2026-06-28 08:13:20,gpt-5.4,3935,0.0098375,71,0.001065,4006,0.0109025
41,2026-06-28 08:13:21,gpt-5.4,3935,0.0098375,72,0.00108,4007,0.0109175
42,2026-06-28 08:13:23,gpt-5.4,3935,0.0098375,72,0.00108,4007,0.0109175
43,2026-06-28 08:13:25,gpt-5.4,3933,0.0098325,72,0.00108,4005,0.010912499999999999
44,2026-06-28 08:13:27,gpt-5.4,3933,0.0098325,67,0.001005,4000,0.0108375
45,2026-06-28 08:13:30,gpt-5.4,3933,0.0098325,58,0.00087,3991,0.010702499999999998
46,2026-06-28 08:13:31,gpt-5.4,3932,0.009829999999999998,69,0.001035,4001,0.010864999999999998
47,2026-06-28 08:13:33,gpt-5.4,3937,0.0098425,66,0.00099,4003,0.0108325
