run,position,node_hash,reviewer_score,is_buggy,is_satisfactory,conditions_completed,datasets_evaluated,metric_values_printed,ended_with_error,numeric_seed_statistics
L00,4,0e06d749206a4f1e8ca221322754c75b,0.25,True,False,3,1,True,True,False
L00,6,32437fd016bc4c5a9b141cbc32a47f17,0.25,True,False,3,1,True,True,False
L00,3,3f4ffbd5b3fc405699aa7539877a5e10,0.15,True,False,0,0,False,True,False
L00,2,4b7a3a5432aa49188348e1081c554734,0.2,True,False,3,1,True,True,False
L00,0,638a4b2555274c85bcc3e6928c5979fb,0.1,True,False,0,0,False,True,False
L00,1,6693c058edef44b9b5858e2857e8ae0a,0.05,True,False,0,0,False,True,False
L00,5,d4f340fed16c4527bccdb72d72a29fff,0.15,True,False,0,0,False,True,False
L01,6,2a17627a944349df8f2f5b244947cca5,0.4348,True,False,0,0,False,False,False
L01,4,5676b59b44d2409ba6c84f6573372c5b,0.3478,True,False,0,0,False,True,False
L01,3,5b65bfb25e1a4f259d17ccb97ccf9990,0.6087,True,False,28,2,True,True,False
L01,5,b1c8ad9bdf8e4ff78ede4f2e0d08c50b,0.1739,True,False,0,0,False,True,False
L01,0,cf247edded4b4fd19d77fb5bd76e34fe,0.2174,True,False,0,0,False,True,False
L01,1,cfd3c9f6a4274519a1107f126c7d3e6e,0.1304,True,False,0,0,False,True,False
L01,2,ebc1700ec9f34310b5a8adfdea589277,0.5217,True,False,21,2,True,True,False
L02,5,2a3c7b9beae9464191504cf9b1cdda45,0.2667,True,False,0,0,False,True,False
L02,1,3a36b7ae2ae543db8ce10e6f821fbbfa,0.1333,True,False,0,0,False,True,False
L02,4,4bd10cd95ad24134a771531aee54f96e,0.3333,True,False,0,0,False,True,False
L02,2,7c7ef2d6f0a6496489af259d0e348e30,0.5333,True,False,29,2,True,True,False
L02,3,a9652cd3f59e4f66b1bedc6a8d8eff2d,0.0,True,False,0,0,False,False,False
L02,0,afe8916b68d044e7b94e57e4b95b48b7,0.2,True,False,0,0,False,True,False
L02,6,eb31459a2c99427a80d7f28188edc9d9,0.5333,True,False,36,3,True,True,False
L03,3,6f5cb18cbed94467aa2bb55ef6590d37,0.3333,True,False,0,0,False,True,False
L03,5,78b415f2ca284a688590883649cee1b4,0.4667,True,False,29,2,True,True,False
L03,6,8c7e5ec4328147ed867a8a18daaea29b,0.2667,True,False,0,0,False,True,False
L03,4,ad76fe0ae61f4ca3b964339fa3f9aaa3,0.0,True,False,0,0,False,False,False
L03,1,ce8fe68cf28f470da8e105ddd2cf720a,0.2,True,False,0,0,False,True,False
L03,2,d4732e83d7334ffcbd7baa86007f5d5e,0.3333,True,False,0,0,True,True,False
L03,0,ead60d44de3c4b238f76f349865ff96c,0.2667,True,False,0,0,False,True,False
L04,3,2403571f12ef4c0291b5007d0b6d44b8,0.6364,True,False,15,1,True,True,True
L04,5,36131f8b6bbd4079937fb428212bd4e6,0.8182,True,False,20,2,True,False,True
L04,0,4e6331c495864cdbbc892cd671a76c96,0.2727,True,False,0,0,False,True,False
L04,1,708374ad472b41609482d999fa99e05d,0.1818,True,False,0,0,False,True,False
L04,2,9946248cc79447f8bd8274f180478c17,0.6364,True,False,21,2,True,True,False
L04,4,e635948046164053bf5cc406e94c23c9,0.8182,True,False,20,2,True,False,True
L04,6,f58e6f3615674ddab30bd5738c6addaa,0.6364,True,False,20,2,True,False,True
M01,6,1371406d0c054b9f9b3efca2243f7352,0.1538,True,False,0,0,False,True,False
M01,4,2a59c3f52ea646aca59d7e1d274316d3,0.3846,True,False,20,2,True,True,False
M01,5,569b9c48849d49748bd2717bf0b7ddb1,0.2308,True,False,20,2,True,True,False
M01,3,6bcd156bbe6c4391a8080598f09d3328,0.2308,True,False,0,0,False,True,False
M01,1,7be469a1ae6e4cca858a9508ae6673e2,0.1538,True,False,0,0,False,True,False
M01,0,c60f180bacee4237a94fe6683e810d7b,0.0,True,False,0,0,False,True,False
M01,2,e25e1b58cc6e48638c77e73ea8f57e1b,0.1538,True,False,0,0,False,True,False
M02,2,11994d8a8f974af08b431b594f69b219,0.2727,True,False,24,2,True,True,False
M02,5,38a5dd5960db4f608fe1b3c4c71898de,0.1818,True,False,20,2,True,False,True
M02,0,6b7efc9f59f24732a883867477e76c5b,0.0,True,False,0,0,False,True,False
